,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,epsilon,reference,Method
eps_0.50,49.0,6.0,10.624169986719787,1.1288180610889775,10.624169986719787,96.69734560490863,10.159362549800797,95.625,0.5,tcrvalid,1HOT
eps_0.71,46.0,7.0,14.143426294820717,2.3240371845949537,14.143426294820717,91.04816962636696,12.549800796812749,88.73239436619718,0.71,tcrvalid,1HOT
eps_0.93,72.0,11.0,18.260292164674635,2.357237715803453,18.260292164674635,83.69270775520775,14.276228419654714,78.18181818181819,0.93,tcrvalid,1HOT
eps_1.14,88.0,14.0,22.111553784860558,2.689243027888446,22.111553784860558,78.79632993269357,16.13545816733068,72.97297297297297,1.14,tcrvalid,1HOT
eps_1.36,104.0,17.0,26.128818061088978,4.780876494023905,26.128818061088978,72.94534069301871,17.231075697211157,65.94663278271919,1.36,tcrvalid,1HOT
eps_1.57,128.0,16.0,30.577689243027887,4.814077025232404,30.577689243027887,69.55026052129955,17.662682602921645,57.76330076004343,1.57,tcrvalid,1HOT
eps_1.79,163.0,17.0,36.819389110225764,6.54050464807437,36.819389110225764,66.59264209464618,18.02788844621514,48.96302975653742,1.79,tcrvalid,1HOT
eps_2.00,184.0,18.0,42.82868525896414,9.794156706507303,42.82868525896414,62.956374170925955,17.96148738379814,41.93798449612403,2.0,tcrvalid,1HOT
eps_2.43,193.0,19.0,57.10491367861886,14.707835325365206,57.10491367861886,55.882276476988814,18.127490039840637,31.74418604651163,2.43,tcrvalid,1HOT
eps_2.64,195.0,19.0,67.49667994687915,17.43027888446215,67.49667994687915,49.94770791391926,19.389110225763613,28.726020659124448,2.64,tcrvalid,1HOT
eps_2.86,181.0,20.0,76.56042496679947,17.662682602921645,76.56042496679947,47.30871084682085,19.12350597609562,24.978317432784042,2.86,tcrvalid,1HOT
eps_3.07,150.0,15.0,83.93094289508632,20.0863213811421,83.93094289508632,43.2354973227827,0.796812749003984,0.9493670886075949,3.07,tcrvalid,1HOT
eps_3.29,107.0,14.0,89.6746347941567,20.816733067729082,89.6746347941567,42.75696848962569,0.796812749003984,0.8885597926693817,3.29,tcrvalid,1HOT
