,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,minsize,spike_x,label_reference,fold
0,clustcr,195,20,21.863183224475765,0.9281540048126504,21.863183224475765,85.66476733143399,16.363011344104503,74.84276729559748,clustcr,2,0,tcrvalid,0
1,clustcr,81,13,14.025438294946717,0.9281540048126504,14.025438294946717,85.85962505715594,10.794087315228602,76.96078431372548,clustcr,3,0,tcrvalid,0
2,,227,58,12.079681274900398,0.5099601593625498,12.079681274900398,80.48497482693519,7.681274900398407,63.58839050131926,clustcr,2,1,tcrvalid,1
3,1.0,99,22,8.0,0.5099601593625498,8.0,82.0211038961039,5.290836653386454,66.13545816733068,clustcr,3,1,tcrvalid,1
4,,215,46,11.711281070745699,0.5098789037603569,11.711281070745699,81.54729605020303,7.664117272147865,65.4421768707483,clustcr,2,1,tcrvalid,2
5,2.0,95,18,7.887189292543021,0.5098789037603569,7.887189292543021,82.97545948203842,5.337794773741236,67.67676767676768,clustcr,3,1,tcrvalid,2
6,,238,66,12.44423199490121,0.5098789037603569,12.44423199490121,78.20815826330531,7.87125557680051,63.25224071702945,clustcr,2,1,tcrvalid,3
7,3.0,100,25,8.046526449968132,0.5098789037603569,8.046526449968132,81.63541666666667,5.608667941363926,69.70297029702971,clustcr,3,1,tcrvalid,3
8,,231,59,12.127490039840637,0.5099601593625498,12.127490039840637,80.145202020202,7.98406374501992,65.83442838370566,clustcr,2,1,tcrvalid,4
9,4.0,96,18,7.824701195219124,0.5099601593625498,7.824701195219124,83.99522569444444,5.625498007968128,71.89409368635438,clustcr,3,1,tcrvalid,4
10,,229,57,12.191235059760956,0.5258964143426295,12.191235059760956,80.16640201138017,7.824701195219124,64.18300653594771,clustcr,2,1,tcrvalid,5
11,5.0,100,20,8.079681274900398,0.5258964143426295,8.079681274900398,83.58106060606062,5.561752988047809,68.83629191321499,clustcr,3,1,tcrvalid,5
12,,239,69,12.591648071405801,0.5100414408670705,12.591648071405801,77.8321129707113,7.79407076824992,61.89873417721519,clustcr,2,1,tcrvalid,6
