,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,minsize,spike_x,label_reference,index
0,445,237,8.773946360153257,0.07662835249042145,8.760634628650264,67.04173354735153,3.1194910707442323,35.60804899387576,1,clustcr,2,3,gliph,
1,123,47,3.839080459770115,0.07662835249042145,3.8246340154824865,69.78513356562138,1.5405840423085766,40.28056112224449,1,clustcr,3,3,gliph,1.0
2,428,221,8.574055627921233,0.08428472913952954,8.574055627921233,67.38360743617753,3.034250249023063,35.388739946380696,2,clustcr,2,3,gliph,
3,130,56,4.0073557581794494,0.08428472913952954,4.0073557581794494,66.4629537129537,1.4098536510612214,35.18164435946463,2,clustcr,3,3,gliph,2.0
4,430,226,8.442503639010189,0.07661074082586379,8.442503639010189,67.703026947213,3.0797517811997244,36.47912885662432,3,clustcr,2,3,gliph,
5,121,52,3.7079598559718074,0.07661074082586379,3.7079598559718074,67.04381477108751,1.378993334865548,37.1900826446281,3,clustcr,3,3,gliph,3.0
6,429,217,8.542752068648483,0.08427827152926755,8.535744387403264,67.54966414057324,3.149183970576967,36.89407540394973,4,clustcr,2,3,gliph,
7,127,54,3.915108795586883,0.08427827152926755,3.907746532832733,66.76225130949543,1.4941383802007508,38.23529411764706,4,clustcr,3,3,gliph,4.0
8,447,241,8.963456676626063,0.08427181490845016,8.956481765246705,66.50947796920951,3.0570027581979775,34.131736526946106,5,clustcr,2,3,gliph,
9,132,60,4.136980004596644,0.08427181490845016,4.1296353049341095,64.61921706239887,1.386760649708857,33.580705009276436,5,clustcr,3,3,gliph,5.0
10,436,236,8.826233527428746,0.09193993257738278,8.826233527428746,66.45523882335809,3.1029727244866687,35.15625,6,clustcr,2,3,gliph,
11,128,57,4.106650321789764,0.09193993257738278,4.106650321789764,65.0350322420635,1.4940239043824701,36.38059701492537,6,clustcr,3,3,gliph,6.0
12,434,232,8.572085184617741,0.08426535927685001,8.572085184617741,67.72177834965854,3.1867626781063274,37.17605004468275,7,clustcr,2,3,gliph,
13,121,52,3.7766201930442778,0.08426535927685001,3.7766201930442778,68.52274217976698,1.5167764669833002,40.16227180527383,7,clustcr,3,3,gliph,7.0
14,417,205,8.407418761496015,0.08430410790925813,8.400398559055722,68.26430630387465,3.1884724457729745,37.956204379562045,8,clustcr,2,3,gliph,
15,126,50,3.946965052115267,0.08430410790925813,3.9396029738637233,68.77948991044228,1.5789070284356557,40.07782101167315,8,clustcr,3,3,gliph,8.0
16,439,225,8.764940239043824,0.08427827152926755,8.765611830511071,67.26008868377889,3.1415217224733736,35.83916083916084,9,clustcr,2,3,gliph,
17,133,56,4.076003677597303,0.08427827152926755,4.076315991111792,65.99382655773633,1.47115163588997,36.090225563909776,9,clustcr,3,3,gliph,9.0
18,432,223,8.695985289610787,0.08427827152926755,8.695985289610787,66.84038633691411,3.1182960465828993,35.859030837004404,10,clustcr,2,3,gliph,
19,134,56,4.1296353049341095,0.08427827152926755,4.1296353049341095,65.11229028020072,1.5093472264787007,36.54916512059369,10,clustcr,3,3,gliph,10.0
