,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,529,382,42.00633363979978,10.94085197670855,42.0004086636698,53.8730050854901,2.125051082958725,5.059596205302846,1,ismart,6.00,2,2,gliph,
0,167,113,34.61027684135254,10.94085197670855,34.61381283203923,42.50790233667224,0.786677564364528,2.272727272727273,1,ismart,6.00,3,2,gliph,1.0
2,531,382,41.64453524004086,10.459652706843718,41.63857390949025,53.49492823227939,2.175911737664726,5.225711481844946,2,ismart,6.00,2,2,gliph,
0,174,122,34.351378958120534,10.459652706843718,34.34467259168454,40.83797063988711,0.7661661048115231,2.23081499107674,2,ismart,6.00,3,2,gliph,2.0
3,547,395,42.16978240882624,10.644601082848094,42.16978240882624,53.80690834121364,2.594749208295025,6.153100775193798,3,ismart,6.00,2,2,gliph,
0,178,112,34.63070793748084,10.644601082848094,34.63070793748084,43.721229565414944,1.2871590560833588,3.7168141592920354,3,ismart,6.00,3,2,gliph,3.0
4,527,382,41.540662035145075,10.420923579893747,41.540662035145075,53.38568786393995,2.2578667756436452,5.4353172651254305,4,ismart,6.00,2,2,gliph,
0,166,112,34.1642827952595,10.420923579893747,34.1642827952595,41.772635568050326,0.9705762157744177,2.840909090909091,4,ismart,6.00,3,2,gliph,4.0
5,516,366,40.79901910697865,10.38111780933892,40.79901910697865,53.30978009182332,2.1048329416573006,5.160320641282565,5,ismart,6.00,2,2,gliph,
0,174,113,33.810156329825276,10.38111780933892,33.810156329825276,40.84969268609675,0.7561050372943701,2.237001209189843,5,ismart,6.00,3,2,gliph,5.0
6,541,392,41.27503064977523,10.410706988148753,41.27503064977523,53.73733058887899,2.135267674703719,5.174548155484031,6,ismart,6.00,2,2,gliph,
0,169,110,33.67388639149979,10.410706988148753,33.67388639149979,43.91654348274279,0.8888434818144667,2.640364188163885,6,ismart,6.00,3,2,gliph,6.0
7,522,375,40.175743332992745,10.043935833248186,40.175743332992745,54.188004345499785,2.3909267395524676,5.9526837954718905,7,ismart,6.00,2,2,gliph,
0,173,111,33.04383365689179,10.043935833248186,33.04383365689179,43.85051022168144,1.0626341064677634,3.2168264769563875,7,ismart,6.00,3,2,gliph,7.0
8,519,369,40.731657469854895,10.678520335172696,40.713482571808235,54.2641277178881,2.177246243483594,5.34772784333417,8,ismart,6.00,2,2,gliph,
0,154,100,33.272021254853875,10.678520335172696,33.261780639885515,43.26676808820731,0.8586323213738117,2.581438229870928,8,ismart,6.00,3,2,gliph,8.0
9,514,362,41.009399264405396,10.706988148753576,41.00337181976091,53.45865636081515,2.0741800347399613,5.059820538384845,9,ismart,6.00,2,2,gliph,
0,168,107,33.939517776869636,10.706988148753576,33.93276795749463,41.53422243725586,0.7663226729334832,2.2590361445783134,9,ismart,6.00,3,2,gliph,9.0
10,549,400,41.80294358135732,10.26165167620605,41.80294358135732,52.422753557047734,2.330335241210139,5.57593543653705,10,ismart,6.00,2,2,gliph,
0,186,129,34.38266557645135,10.26165167620605,34.38266557645135,40.215546789350554,1.0425183973834833,3.033006244424621,10,ismart,6.00,3,2,gliph,10.0
