,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,100,93,1.4898646228780172,0.021488432060740633,1.4829142488716958,55.0,0.17909592377677483,12.077294685990339,1,ismart,8.00,2,4,gliph_HQ,
0,8,8,0.17190745648592506,0.021488432060740633,0.17193208682570385,50.0,0.04298302170642596,25.0,1,ismart,8.00,3,4,gliph_HQ,1.0
2,107,100,1.5761570425562401,0.021493050580312367,1.5692175408426483,54.98442367601247,0.17913442247062195,11.415525114155251,2,ismart,8.00,2,4,gliph_HQ,
0,6,6,0.1289583034818742,0.021493050580312367,0.1289767841788478,55.55555555555555,0.04299226139294927,33.333333333333336,2,ismart,8.00,3,4,gliph_HQ,2.0
3,92,85,1.3394455984528328,0.021488432060740633,1.3325691359793668,56.34057971014494,0.17910875483593638,13.440860215053764,3,ismart,8.00,2,4,gliph_HQ,
0,3,3,0.06446529618222191,0.021488432060740633,0.0644791517409371,77.77777777777779,0.042986101160624735,66.66666666666667,3,ismart,8.00,3,4,gliph_HQ,3.0
4,92,86,1.3895852732612277,0.042976864121481266,1.3895852732612277,54.98188405797102,0.17190745648592506,12.371134020618557,4,ismart,8.00,2,4,gliph_HQ,
0,6,6,0.157581835112098,0.042976864121481266,0.157581835112098,51.38888888888889,0.042976864121481266,27.272727272727273,4,ismart,8.00,3,4,gliph_HQ,4.0
5,98,92,1.4538422975005372,0.021485354150254245,1.4539464260134651,54.761904761904766,0.17189514396218306,11.822660098522167,5,ismart,8.00,2,4,gliph_HQ,
0,7,7,0.1503974790517797,0.021485354150254245,0.15040825096691018,52.38095238095237,0.042973785990545764,28.571428571428573,5,ismart,8.00,3,4,gliph_HQ,5.0
6,94,87,1.368096841200487,0.021488432060740633,1.3611290207034887,56.20567375886525,0.17909592377677483,13.157894736842104,6,ismart,8.00,2,4,gliph_HQ,
0,3,3,0.06446529618222191,0.021488432060740633,0.06447453255963895,77.77777777777779,0.04298302170642596,66.66666666666667,6,ismart,8.00,3,4,gliph_HQ,6.0
7,95,89,1.3966480446927374,0.021486892995272882,1.3966480446927374,55.26315789473684,0.17189514396218306,12.307692307692308,7,ismart,8.00,2,4,gliph_HQ,
0,5,5,0.10743446497636441,0.021486892995272882,0.10743446497636441,60.0,0.042973785990545764,40.0,7,ismart,8.00,3,4,gliph_HQ,7.0
8,99,93,1.475433319008738,0.028649190660363845,1.475644699140401,54.62962962962963,0.17191977077363896,11.650485436893204,8,ismart,8.00,2,4,gliph_HQ,
0,7,7,0.15757054863200115,0.028649190660363845,0.15759312320916904,51.1904761904762,0.04297994269340974,27.272727272727273,8,ismart,8.00,3,4,gliph_HQ,8.0
9,103,97,1.5402249444802636,0.03581918475535497,1.5402249444802636,54.40129449838188,0.17193208682570385,11.162790697674419,9,ismart,8.00,2,4,gliph_HQ,
0,7,7,0.16476824987463284,0.03581918475535497,0.16476824987463284,50.47619047619048,0.04298302170642596,26.08695652173913,9,ismart,8.00,3,4,gliph_HQ,9.0
10,112,106,1.6263074939103024,0.021493050580312367,1.6263074939103024,54.761904761904766,0.17194440464249894,10.572687224669604,10,ismart,8.00,2,4,gliph_HQ,
0,3,3,0.0644791517409371,0.021493050580312367,0.0644791517409371,77.77777777777779,0.042986101160624735,66.66666666666667,10,ismart,8.00,3,4,gliph_HQ,10.0
