,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,968,875,52.03331953642384,13.146730132450331,52.03331953642384,47.395254775993585,0.7760761589403974,1.4914984587849258,1,ismart,6.00,2,5,tcrvalid,
0,281,247,44.9244619205298,13.146730132450331,44.9244619205298,32.30820862335156,0.26903973509933776,0.5988713578256363,1,ismart,6.00,3,5,tcrvalid,1.0
2,972,879,52.038704336127495,12.542688606022974,52.03374042641275,47.353722405878806,0.7089629476298903,1.3625062158130283,2,ismart,6.00,2,5,tcrvalid,
0,268,232,44.753182241539896,12.542688606022974,44.747464293107015,31.26051559147089,0.20182156903332643,0.45102347635017925,2,ismart,6.00,3,5,tcrvalid,2.0
3,973,888,51.629759933774835,13.079470198675496,51.62475421711684,46.96677845204968,0.73476146124392,1.4232735291169691,3,ismart,6.00,2,5,tcrvalid,
0,280,249,44.45881622516556,13.079470198675496,44.45306840525716,31.066697978015508,0.24837007140639553,0.5587242463042719,3,ismart,6.00,3,5,tcrvalid,3.0
4,961,872,52.56078634247284,13.38851526125194,52.558332039939984,47.312747355385554,0.750168141135082,1.4273058371886997,4,ismart,6.00,2,5,tcrvalid,
0,277,241,45.48370408691154,13.38851526125194,45.48605721972166,32.55433288276359,0.2897201096797558,0.6369426751592356,4,ismart,6.00,3,5,tcrvalid,4.0
5,998,906,52.12105535437144,12.752198654940507,52.116100993377486,47.49949256858609,0.8278145695364238,1.5884046460835899,5,ismart,6.00,2,5,tcrvalid,
0,271,238,44.59906880496637,12.752198654940507,44.593336092715234,31.381895141877944,0.30008278145695366,0.6729318946513516,5,ismart,6.00,3,5,tcrvalid,5.0
6,961,870,52.12375187542035,13.089140669460397,52.113842173350584,47.560225431396844,0.8279430789133247,1.5887200873796048,6,ismart,6.00,2,5,tcrvalid,
0,279,247,45.06699777536345,13.089140669460397,45.05562742561449,31.381278278037144,0.23803363518758086,0.5283105547260825,6,ismart,6.00,3,5,tcrvalid,6.0
7,951,859,51.748577340920846,13.336782203828246,51.741087597661306,47.368858586067,0.7605939876856211,1.47,7,ismart,6.00,2,5,tcrvalid,
0,280,243,44.80600103466115,13.336782203828246,44.80260775081492,31.956373269106123,0.238009002949242,0.5312391731146784,7,ismart,6.00,3,5,tcrvalid,7.0
8,1014,923,52.33833419555096,13.005690636316606,52.33833419555096,47.31671905923844,0.6880496637351268,1.3146189581891865,8,ismart,6.00,2,5,tcrvalid,
0,265,234,44.58872219348164,13.005690636316606,44.58872219348164,30.864728777614232,0.20175892395240558,0.45248868778280543,8,ismart,6.00,3,5,tcrvalid,8.0
9,981,888,52.3981994101516,13.509597971749367,52.38834549500595,47.49102485057173,0.7814521554624023,1.491652672132767,9,ismart,6.00,2,5,tcrvalid,
0,278,247,45.12340249392042,13.509597971749367,45.11721782331936,31.434156037449174,0.22770791284997155,0.5047029135122735,9,ismart,6.00,3,5,tcrvalid,9.0
10,985,892,52.41914618369987,12.921086675291074,52.41422139419345,47.30293707660721,0.7659266159499043,1.4612954186413902,10,ismart,6.00,2,5,tcrvalid,
0,282,250,45.14359637774903,12.921086675291074,45.13791854266936,31.004939788858493,0.20700719349997412,0.45861041045631734,10,ismart,6.00,3,5,tcrvalid,10.0
