,Unnamed: 0,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,eps,minsize,spike_x,label_reference,fold,epsilon_scaled
0,0,ismart,198,15,52.85101164929491,14.408338442673209,52.85101164929491,75.56706055497007,8.06253832004905,15.25522041763341,ismart,5.5,2,0,gliph,0,0.0
1,0,ismart,69,15,44.94175352544451,14.408338442673209,44.94175352544451,69.74315927368221,3.525444512568976,7.844474761255116,ismart,5.5,3,0,gliph,0,0.0
0,0,ismart,231,15,43.43960760269773,8.920907418761496,43.43960760269773,79.37930606674001,11.312078479460451,26.040931545518703,ismart,6.0,2,0,gliph,0,0.2
1,0,ismart,78,13,34.05885959534028,8.920907418761496,34.05885959534028,75.46948335149928,5.4261189454322505,15.931593159315932,ismart,6.0,3,0,gliph,0,0.2
0,0,ismart,253,15,31.14653586756591,2.2685469037400368,31.14653586756591,85.91110493089133,16.707541385652974,53.64173228346457,ismart,6.5,2,0,gliph,0,0.4
1,0,ismart,93,14,21.33660331085224,2.2685469037400368,21.33660331085224,85.32805965070436,9.59534028203556,44.97126436781609,ismart,6.5,3,0,gliph,0,0.4
0,0,ismart,223,15,21.765787860208462,0.9809932556713672,21.765787860208462,91.83967720122428,17.50459840588596,80.4225352112676,ismart,7.0,2,0,gliph,0,0.6
1,0,ismart,83,11,13.182096873083998,0.9809932556713672,13.182096873083998,93.73792790208454,10.515021459227468,79.76744186046511,ismart,7.0,3,0,gliph,0,0.6
0,0,ismart,127,13,9.350091968117718,0.2452483139178418,9.350091968117718,96.8503937007874,8.798283261802576,94.09836065573772,ismart,7.5,2,0,gliph,0,0.8
1,0,ismart,31,8,3.464132434089516,0.2452483139178418,3.464132434089516,96.7741935483871,3.2801961986511343,94.69026548672566,ismart,7.5,3,0,gliph,0,0.8
0,0,ismart,44,10,2.912323727774372,0.1226241569589209,2.912323727774372,100.0,2.912323727774372,100.0,ismart,8.0,2,0,gliph,0,1.0
1,0,ismart,6,3,0.5824647455548743,0.1226241569589209,0.5824647455548743,100.0,0.5824647455548743,100.0,ismart,8.0,3,0,gliph,0,1.0
0,1,,319,175,48.70498084291188,14.559386973180075,48.69711833231147,59.57308616960677,3.2801961986511343,6.74015748031496,ismart,5.5,2,1,gliph,1,0.0
1,0,1.0,104,58,42.11494252873563,14.559386973180075,42.106069895769465,50.9982162317746,1.471489883507051,3.4972677595628414,ismart,5.5,3,1,gliph,1,0.0
2,2,,310,177,48.75881091020533,13.760343242414956,48.75881091020533,60.07107110072656,3.141281029727245,6.442489000628536,ismart,5.5,2,1,gliph,2,0.0
3,0,2.0,93,50,42.10848912044131,13.760343242414956,42.10848912044131,51.84980689489498,1.3331290223720502,3.165938864628821,ismart,5.5,3,1,gliph,2,0.0
4,3,,299,163,49.954030033711305,14.771682500766168,49.94636015325671,59.21046703051858,2.835249042145594,5.678330263965624,ismart,5.5,2,1,gliph,3,0.0
5,0,3.0,108,53,44.10052099295128,14.771682500766168,44.0919540229885,50.96231150115791,1.210727969348659,2.7468706536856744,ismart,5.5,3,1,gliph,3,0.0
