,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,709,550,8.928389008070283,0.18387986515476556,8.928389008070283,58.70461363585482,2.252528348145878,25.22883295194508,1,tcrdist,12.00,2,5,gliph,
0,137,87,3.0850955153744,0.18387986515476556,3.0850955153744,56.726796115482244,1.1798958014097456,38.24503311258278,1,tcrdist,12.00,3,5,gliph,1.0
2,729,572,9.077441765427054,0.18389865140988967,9.0727969348659,58.220572865634594,2.2988505747126435,25.33783783783784,2,tcrdist,12.00,2,5,gliph,
0,143,92,3.0905190028606455,0.18389865140988967,3.0906768837803322,55.893689643689655,1.251596424010217,40.49586776859504,2,tcrdist,12.00,3,5,gliph,2.0
3,737,574,9.20420880580243,0.18387986515476556,9.199570925065128,58.38849741615326,2.2679675128977883,24.652970571904497,3,tcrdist,12.00,2,5,gliph,
0,139,86,3.0953110634385537,0.18387986515476556,3.0903611380701843,57.42678126406438,1.2157123154722378,39.33884297520661,3,tcrdist,12.00,3,5,gliph,3.0
4,738,577,9.26455566905005,0.18386108273748722,9.2552865461232,58.29109670064955,2.3546838287874143,25.44150110375276,4,tcrdist,12.00,2,5,gliph,
0,144,93,3.1971399387129726,0.18386108273748722,3.192358770048013,56.03353725749559,1.2871590560833588,40.32,4,tcrdist,12.00,3,5,gliph,4.0
5,737,579,9.187946884576098,0.18386108273748722,9.183308647019766,58.52019521893835,2.2524132999642474,24.52725250278087,5,tcrdist,12.00,2,5,gliph,
0,126,76,2.9468845760980593,0.18386108273748722,2.9470350886153533,58.56653870125049,1.1951580775320496,40.55459272097054,5,tcrdist,12.00,3,5,gliph,5.0
6,703,542,8.846212778997906,0.18387047346646918,8.83690044439904,58.86947125337218,2.2424273382029933,25.3757225433526,6,tcrdist,12.00,2,5,gliph,
0,137,87,3.0645078911078194,0.18387047346646918,3.0546048934974714,57.19152037314339,1.169740001021607,38.2943143812709,6,tcrdist,12.00,3,5,gliph,6.0
7,742,580,9.096016343207355,0.18896833503575078,9.086730003064664,59.022463268836354,2.370007150883645,26.082068577852727,7,tcrdist,12.00,2,5,gliph,
0,116,66,2.70173646578141,0.18896833503575078,2.6969046889365615,61.59196332307388,1.2820512820512822,47.53787878787879,7,tcrdist,12.00,3,5,gliph,7.0
8,733,571,9.19305413687436,0.18386108273748722,9.188416160171613,58.07263583013924,2.2524132999642474,24.513618677042803,8,tcrdist,12.00,2,5,gliph,
0,147,95,3.2073544433094994,0.18386108273748722,3.2024107462076716,55.219333765252145,1.200265590683896,37.48006379585327,8,tcrdist,12.00,3,5,gliph,8.0
9,747,585,9.403892322623486,0.18899729274148236,9.390007152344948,58.18918196930245,2.309185654439563,24.591947769314473,9,tcrdist,12.00,2,5,gliph,
0,141,89,3.2129539766052,0.18899729274148236,3.2083375906815164,55.796588163609435,1.2363339123326862,38.53503184713376,9,tcrdist,12.00,3,5,gliph,9.0
10,707,544,8.745849297573436,0.1839080459770115,8.736524804577735,59.30629032290984,2.2990854748888774,26.31578947368421,10,tcrdist,12.00,2,5,gliph,
0,120,70,2.7484035759897827,0.1839080459770115,2.7486844122004803,60.24622715247715,1.2159607622745618,44.237918215613384,10,tcrdist,12.00,3,5,gliph,10.0
