,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,1386,1257,26.61941225165563,2.457574503311258,26.61941225165563,47.315394669769695,0.9157698675496688,3.4402332361516037,1,tcrdist,26.00,2,5,tcrvalid,
0,400,340,16.416597682119207,2.457574503311258,16.416597682119207,32.822842530752,0.2638658940397351,1.6073116924046644,1,tcrdist,26.00,3,5,tcrvalid,1.0
2,1419,1282,27.910586774293698,2.3595156783607574,27.903125646864,46.92490779640074,0.98840819706065,3.542284866468843,2,tcrdist,26.00,2,5,tcrvalid,
0,438,376,17.75846010555728,2.3595156783607574,17.75512316290623,32.50329717601061,0.31049472158973296,1.7487612940833577,2,tcrdist,26.00,3,5,tcrvalid,2.0
3,1391,1254,27.162665562913908,2.359271523178808,27.155127807099245,47.33596423974119,1.0917934388906136,4.020579268292683,3,tcrdist,26.00,2,5,tcrvalid,
0,420,356,17.115066225165563,2.359271523178808,17.111663044603127,33.9150625178095,0.4656938838869916,2.721499848805564,3,tcrdist,26.00,3,5,tcrvalid,3.0
4,1384,1253,27.739265390584585,2.353854112778065,27.73552692844948,47.19422462748555,1.0088468104920068,3.6373810856183546,4,tcrdist,26.00,2,5,tcrvalid,
0,417,359,17.734092084842214,2.353854112778065,17.735009571110766,32.77411722887291,0.3311086967768638,1.866977829638273,4,tcrdist,26.00,3,5,tcrvalid,4.0
5,1427,1290,26.983962752198654,2.379720641489912,26.97640728476821,47.00405978216054,1.0399420529801324,3.855005753739931,5,tcrdist,26.00,2,5,tcrvalid,
0,435,378,16.720124159337818,2.379720641489912,16.711506622516556,32.47078921642089,0.34664735099337746,2.0743034055727554,5,tcrdist,26.00,3,5,tcrvalid,5.0
6,1383,1246,27.171607429251385,2.4108851984065396,27.15653298835705,47.40475031589561,1.1280724450194048,4.153963414634147,6,tcrdist,26.00,2,5,tcrvalid,
0,419,357,17.196957938848364,2.4108851984065396,17.17981888745149,33.43859113814711,0.4346701164294955,2.5301204819277108,6,tcrdist,26.00,3,5,tcrvalid,6.0
7,1431,1296,27.496120020693223,2.431453698913606,27.484865731877683,47.49492212063786,1.0917369483106536,3.9721385542168677,7,tcrdist,26.00,2,5,tcrvalid,
0,415,356,16.983962752198654,2.431453698913606,16.976250840792673,33.651165191886236,0.43462513582035495,2.560195062480951,7,tcrdist,26.00,3,5,tcrvalid,7.0
8,1420,1285,26.916709777547855,2.3279875840662183,26.916709777547855,47.92907975864172,3.4661148473874808,12.877186238708438,8,tcrdist,26.00,2,5,tcrvalid,
0,395,330,16.311433005690635,2.3279875840662183,16.311433005690635,34.58048925891455,2.8142783238489395,17.253409451316205,8,tcrdist,26.00,3,5,tcrvalid,8.0
9,1405,1269,27.122678118694054,2.3542194856935894,27.10759198882161,48.05213242071512,1.0712622263623661,3.9518900343642613,9,tcrdist,26.00,2,5,tcrvalid,
0,390,333,16.619237336368812,2.3542194856935894,16.612327278372923,34.136528336165995,0.3674377684624541,2.2118380062305296,9,tcrdist,26.00,3,5,tcrvalid,9.0
10,1365,1229,26.79948253557568,2.3648124191461837,26.79190601873415,47.62848526069191,1.0919629457123634,4.075719528684567,10,tcrdist,26.00,2,5,tcrvalid,
0,384,326,16.646830530401036,2.3648124191461837,16.63820317756042,32.45542286678242,0.3674377684624541,2.208398133748056,10,tcrdist,26.00,3,5,tcrvalid,10.0
