,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,eps,minsize,spike_x,label_reference,index
1,247,240,83.24203187250995,79.79955179282868,83.24098860735853,48.08242204945854,0.08715682002116666,0.10470421060504076,1,tcrvalid,6.00,2,4,tcrvalid,
0,46,45,80.73954183266932,79.79955179282868,80.73834277532217,32.094744482962135,0.0,0.0,1,tcrvalid,6.00,3,4,tcrvalid,1.0
2,258,245,83.52530975655314,79.93275636635327,83.52325798617598,48.56484266231199,0.09963260476991095,0.11928725862968761,2,tcrvalid,6.00,2,4,tcrvalid,
0,49,46,80.92273208393001,79.93275636635327,80.92035618656205,34.2801919770713,0.0,0.0,2,tcrvalid,6.00,3,4,tcrvalid,2.0
3,280,273,83.81474103585657,79.79955179282868,83.8107098381071,47.526150696330035,0.074719800747198,0.08915304606240713,3,tcrvalid,6.00,2,4,tcrvalid,
0,52,51,80.97609561752988,79.79955179282868,80.97135740971358,30.910042211007877,0.0,0.0,3,tcrvalid,6.00,3,4,tcrvalid,3.0
4,254,243,83.8832171314741,80.06100597609561,83.88221378322854,47.72563932035712,0.12450974288738094,0.14843402107763098,4,tcrvalid,6.00,2,4,tcrvalid,
0,54,53,81.39317729083665,80.06100597609561,81.39201892548093,30.04282198834644,0.0,0.0,4,tcrvalid,6.00,3,4,tcrvalid,4.0
5,278,270,83.92256940121997,79.75849620316195,83.91956670609476,46.627681997493326,0.09960779430990475,0.11869436201780416,5,tcrvalid,6.00,2,4,tcrvalid,
0,71,69,81.3456989916594,79.75849620316195,81.34221502832597,31.161909793002035,0.0,0.0,5,tcrvalid,6.00,3,4,tcrvalid,5.0
6,262,253,83.45368525896414,79.65014940239044,83.45162495330594,48.01911726037359,0.13696924417880713,0.16413011041480155,6,tcrvalid,6.00,2,4,tcrvalid,
0,52,52,80.83914342629483,79.65014940239044,80.8367575644378,29.442475427266913,0.0,0.0,6,tcrvalid,6.00,3,4,tcrvalid,6.0
7,270,257,83.0999066293184,79.15343915343915,83.0999066293184,48.240136854900406,0.13694366635543107,0.1647940074906367,7,tcrvalid,6.00,2,4,tcrvalid,
0,56,54,80.43572984749456,79.15343915343915,80.43572984749456,31.693516978984114,0.0,0.0,7,tcrvalid,6.00,3,4,tcrvalid,7.0
8,228,221,83.42359165888578,80.11826953003424,83.4194632961833,46.95870702344577,0.07471514849635763,0.08956560680698612,8,tcrvalid,6.00,2,4,tcrvalid,
0,57,55,81.29474011826953,80.11826953003424,81.29008156403711,32.57167019904623,0.0,0.0,8,tcrvalid,6.00,3,4,tcrvalid,8.0
9,244,229,83.42049557962893,79.82816585730295,83.4194632961833,48.41636603014181,0.13697777224332233,0.16420361247947454,9,tcrvalid,6.00,2,4,tcrvalid,
0,51,48,81.0173079317644,79.82816585730295,81.01612601955047,31.639084536364734,0.0,0.0,9,tcrvalid,6.00,3,4,tcrvalid,9.0
10,266,256,84.72075213249487,80.84179067305897,84.71980074719801,47.47317919514072,0.099626400996264,0.1175951785976775,10,tcrvalid,6.00,2,4,tcrvalid,
0,57,56,82.11817445987174,80.84179067305897,82.11706102117061,31.190625717674255,0.0,0.0,10,tcrvalid,6.00,3,4,tcrvalid,10.0
