data,confidence,fold
test-ID,0.6590562,0
test-ID,0.46109408,0
test-ID,0.9459187,0
test-ID,0.50553554,0
test-ID,0.93474025,0
test-ID,0.30713984,0
test-ID,0.16460048,0
test-ID,0.5531555,0
test-ID,0.923965,0
test-ID,0.8716536,0
test-ID,0.975194,0
test-ID,0.59198797,0
test-ID,0.96138704,0
test-ID,0.36977068,0
test-ID,0.31139714,0
test-ID,0.90298146,0
test-ID,0.9644221,0
test-ID,0.3288333,0
test-ID,0.9053458,0
test-ID,0.26365238,0
test-ID,0.8136531,0
test-ID,0.52659285,0
test-ID,0.9549295,0
test-ID,0.9916556,0
test-ID,0.36291963,0
test-ID,0.74324435,0
test-ID,0.9167201,0
test-ID,0.5285144,0
test-ID,0.22724518,0
test-ID,0.31432992,0
test-ID,0.8632839,0
test-ID,0.9511783,0
test-ID,0.98727816,0
test-ID,0.74163526,0
test-ID,0.9172039,0
test-ID,0.2737852,0
test-ID,0.99865144,0
test-ID,0.9994583,0
test-ID,0.9732791,0
test-ID,0.95569384,0
test-ID,0.82999647,0
test-ID,0.7054585,0
test-ID,0.54188246,0
test-ID,0.99263906,0
test-ID,0.8067205,0
test-ID,0.9991747,0
test-ID,0.96973693,0
test-ID,0.29151714,0
test-ID,0.9952742,0
test-ID,0.99844015,0
test-ID,0.9979129,0
test-ID,0.9974212,0
test-ID,0.99968463,0
test-ID,0.99323785,0
test-ID,0.9996089,0
test-ID,0.9995627,0
test-ID,0.9989828,0
test-ID,0.993292,0
test-ID,0.99579066,0
test-ID,0.8944664,0
test-ID,0.98427606,0
test-ID,0.99993354,0
test-ID,0.99956,0
test-ID,0.9168294,0
test-ID,0.54547787,0
test-ID,0.8836485,0
test-ID,0.9998903,0
test-ID,0.9685099,0
test-ID,0.93053526,0
test-ID,0.84356344,0
test-ID,0.6294539,0
test-ID,0.99672645,0
test-ID,0.983978,0
test-ID,0.57479805,0
test-ID,0.9643709,0
test-ID,0.49505502,0
test-ID,0.2559682,0
test-ID,0.799625,0
test-ID,0.9888298,0
test-ID,0.997694,0
test-ID,0.22120254,0
test-ID,0.41649267,0
test-ID,0.7829175,0
test-ID,0.9915733,0
test-ID,0.99910784,0
test-ID,0.8326166,0
test-ID,0.8440294,0
test-ID,0.9994705,0
test-ID,0.9999552,0
test-ID,0.9197771,0
test-ID,0.7305722,0
test-ID,0.9994098,0
test-ID,0.995132,0
test-ID,0.986666,0
test-ID,0.9998121,0
test-ID,0.9993276,0
test-ID,0.9918473,0
test-ID,0.73016024,0
test-ID,0.9988656,0
test-ID,0.6383947,0
test-ID,0.9998462,0
test-ID,0.78532827,0
test-ID,0.997754,0
test-ID,0.99908876,0
test-ID,0.84480226,0
test-ID,0.467536,0
test-ID,0.7765255,0
test-ID,0.98359734,0
test-ID,0.988868,0
test-ID,0.9727104,0
test-ID,0.99794126,0
test-ID,0.9869846,0
test-ID,0.99719673,0
test-ID,0.96420276,0
test-ID,0.9651171,0
test-ID,0.99887633,0
test-ID,0.96708363,0
test-ID,0.97144836,0
test-ID,0.9976102,0
test-ID,0.9844959,0
test-ID,0.35922453,0
test-ID,0.9475508,0
test-ID,0.9987508,0
test-ID,0.9963169,0
test-ID,0.91526985,0
test-ID,0.9842763,0
test-ID,0.6776718,0
test-ID,0.99885607,0
test-ID,0.96593976,0
test-ID,0.9995275,0
test-ID,0.9984332,0
test-ID,0.44895664,0
test-ID,0.16556443,0
test-ID,0.6711464,0
test-ID,0.989737,0
test-ID,0.9815233,0
test-ID,0.6246415,0
test-ID,0.3564995,0
test-ID,0.9992976,0
test-ID,0.98023343,0
test-ID,0.9980416,0
test-ID,0.98893756,0
test-ID,0.91900766,0
test-ID,0.3974601,0
test-ID,0.9962692,0
test-ID,0.99800557,0
test-ID,0.6510914,0
test-ID,0.64138645,0
test-ID,0.42735642,0
test-ID,0.9862076,0
test-ID,0.999381,0
test-ID,0.99674755,0
test-ID,0.54042816,0
test-ID,0.9976336,0
test-ID,0.9896023,0
test-ID,0.9951019,0
test-ID,0.99115705,0
test-ID,0.9808494,0
test-ID,0.99916685,0
test-ID,0.74344784,0
test-ID,0.93787426,0
test-ID,0.99298847,0
test-ID,0.9539956,0
test-ID,0.9995205,0
test-ID,0.4753914,0
test-ID,0.69941473,0
test-ID,0.13829508,0
test-ID,0.9402779,0
test-ID,0.4336244,0
test-ID,0.93613774,0
test-ID,0.3792205,0
test-ID,0.9871724,0
test-ID,0.46095932,0
test-ID,0.37366962,0
test-ID,0.8122342,0
test-ID,0.9943247,0
test-ID,0.9859976,0
test-ID,0.8672906,0
test-ID,0.9998182,0
test-ID,0.9079034,0
test-ID,0.6876602,0
test-ID,0.3141669,0
test-ID,0.9953917,0
test-ID,0.9942785,0
test-ID,0.9851024,0
test-ID,0.68902147,0
test-ID,0.98267704,0
test-ID,0.58512914,0
test-ID,0.9977939,0
test-ID,0.8801724,0
test-ID,0.99977446,0
test-ID,0.8762368,0
test-ID,0.76541454,0
test-ID,0.99879646,0
test-ID,0.9994556,0
test-ID,0.98068786,0
test-ID,0.6041689,0
test-ID,0.99814713,0
test-ID,0.96567404,0
test-ID,0.9985529,0
test-ID,0.27679944,0
test-ID,0.9967644,0
test-ID,0.9988308,0
test-ID,0.98069894,0
test-ID,0.9937737,0
test-ID,0.9268465,0
test-ID,0.99447536,0
test-ID,0.99939847,0
test-ID,0.36295652,0
test-ID,0.99646634,0
test-ID,0.90113515,0
test-ID,0.7300004,0
test-ID,0.9990598,0
test-ID,0.9987576,0
test-ID,0.9996747,0
test-ID,0.20961574,0
test-ID,0.371584,0
test-ID,0.99827385,0
test-ID,0.99988276,0
test-ID,0.9950886,0
test-ID,0.69622123,0
test-ID,0.9976281,0
test-ID,0.26483092,0
test-ID,0.9999504,0
test-ID,0.993053,0
test-ID,0.9125898,0
test-ID,0.99992895,0
test-ID,0.9769608,0
test-ID,0.99870616,0
test-ID,0.76708996,0
test-ID,0.28345788,0
test-ID,0.34171596,0
test-ID,0.94169044,0
test-ID,0.21681397,0
test-ID,0.19091985,0
test-ID,0.9827072,0
test-ID,0.99148154,0
test-ID,0.953012,0
test-ID,0.99768573,0
test-ID,0.2067157,0
test-ID,0.46814516,0
test-ID,0.89327073,0
test-ID,0.95974433,0
test-ID,0.9960499,0
test-ID,0.31941786,0
test-ID,0.77301633,0
test-ID,0.99877065,0
test-ID,0.66136146,0
test-ID,0.9226551,0
test-ID,0.9998379,0
test-ID,0.4132601,0
test-ID,0.850252,0
test-ID,0.48015043,0
test-ID,0.99978197,0
test-ID,0.9981721,0
test-ID,0.9975804,0
test-ID,0.9989972,0
test-ID,0.26967844,0
test-ID,0.97611517,0
test-ID,0.99796414,0
test-ID,0.99842894,0
test-ID,0.98978907,0
test-ID,0.99857754,0
test-ID,0.9756192,0
test-ID,0.57085985,0
test-ID,0.8205278,0
test-ID,0.8702468,0
test-ID,0.999459,0
test-ID,0.9996815,0
test-ID,0.26153135,0
test-ID,0.36803877,0
test-ID,0.99787444,0
test-ID,0.39202705,0
test-ID,0.98000515,0
test-ID,0.99796534,0
test-ID,0.9935734,0
test-ID,0.99935114,0
test-ID,0.49415255,0
test-ID,0.9961779,0
test-ID,0.96263593,0
test-ID,0.25034007,0
test-ID,0.68279314,0
test-ID,0.7184975,0
test-ID,0.96377206,0
test-ID,0.8846916,0
test-ID,0.8099072,0
test-ID,0.7529354,0
test-ID,0.99991137,0
test-ID,0.9872519,0
test-ID,0.3389507,0
test-ID,0.37389413,0
test-ID,0.9831836,0
test-ID,0.8132165,0
test-ID,0.9966394,0
test-ID,0.49911365,0
test-ID,0.29011405,0
test-ID,0.58430195,0
test-ID,0.87148,0
test-ID,0.27732384,0
test-ID,0.47315902,0
test-ID,0.26497465,0
test-ID,0.99729645,0
