data,confidence,balance,fold
test-ID,0.43226713,0.0,0
test-ID,0.3451488,0.0,0
test-ID,0.3094105,0.0,0
test-ID,0.66900265,0.0,0
test-ID,0.68045264,0.0,0
test-ID,0.9031271,0.0,0
test-ID,0.38381094,0.0,0
test-ID,0.5142844,0.0,0
test-ID,0.4909134,0.0,0
test-ID,0.6790877,0.0,0
test-ID,0.7770902,0.0,0
test-ID,0.82426184,0.0,0
test-ID,0.31955272,0.0,0
test-ID,0.35342598,0.0,0
test-ID,0.9733523,0.0,0
test-ID,0.2783786,0.0,0
test-ID,0.4497704,0.0,0
test-ID,0.13588889,0.0,0
test-ID,0.4277818,0.0,0
test-ID,0.50436527,0.0,0
test-ID,0.9868622,0.0,0
test-ID,0.25615054,0.0,0
test-ID,0.7046911,0.0,0
test-ID,0.44963175,0.0,0
test-ID,0.28382042,0.0,0
test-ID,0.78947604,0.0,0
test-ID,0.25373557,0.0,0
test-ID,0.99435174,0.0,0
test-ID,0.9297693,0.0,0
test-ID,0.33831185,0.0,0
test-ID,0.9367775,0.0,0
test-ID,0.1408811,0.0,0
test-ID,0.9645516,0.0,0
test-ID,0.99455035,0.0,0
test-ID,0.17252369,0.0,0
test-ID,0.9860641,0.0,0
test-ID,0.91046464,0.0,0
test-ID,0.7660102,0.0,0
test-ID,0.9109265,0.0,0
test-ID,0.62266344,0.0,0
test-ID,0.9926811,0.0,0
test-ID,0.8731208,0.0,0
test-ID,0.8770004,0.0,0
test-ID,0.95979977,0.0,0
test-ID,0.7631891,0.0,0
test-ID,0.9636842,0.0,0
test-ID,0.20303914,0.0,0
test-ID,0.35723293,0.0,0
test-ID,0.43062603,0.0,0
test-ID,0.9630683,0.0,0
test-ID,0.9746717,0.0,0
test-ID,0.97502434,0.0,0
test-ID,0.7673529,0.0,0
test-ID,0.9937168,0.0,0
test-ID,0.19614747,0.0,0
test-ID,0.8009643,0.0,0
test-ID,0.9365616,0.0,0
test-ID,0.86521393,0.0,0
test-ID,0.20824178,0.0,0
test-ID,0.9883599,0.0,0
test-ID,0.6582975,0.0,0
test-ID,0.9918838,0.0,0
test-ID,0.9178672,0.0,0
test-ID,0.71738416,0.0,0
test-ID,0.90776914,0.0,0
test-ID,0.40134108,0.0,0
test-ID,0.31747305,0.0,0
test-ID,0.10125944,0.0,0
test-ID,0.29569513,0.0,0
test-ID,0.7225323,0.0,0
test-ID,0.20021065,0.0,0
test-ID,0.12572719,0.0,0
test-ID,0.26889393,0.0,0
test-ID,0.5841516,0.0,0
test-ID,0.73753524,0.0,0
test-ID,0.987388,0.0,0
test-ID,0.22609273,0.0,0
test-ID,0.7280104,0.0,0
test-ID,0.99156225,0.0,0
test-ID,0.84748834,0.0,0
test-ID,0.23065539,0.0,0
test-ID,0.95789677,0.0,0
test-ID,0.15909524,0.0,0
test-ID,0.9112055,0.0,0
test-ID,0.9761988,0.0,0
test-ID,0.36791205,0.0,0
test-ID,0.62042594,0.0,0
test-ID,0.98755276,0.0,0
test-ID,0.94291663,0.0,0
test-ID,0.41192555,0.0,0
test-ID,0.29755688,0.0,0
test-ID,0.9527313,0.0,0
test-ID,0.3515104,0.0,0
test-ID,0.98440593,0.0,0
test-ID,0.15352009,0.0,0
test-ID,0.99269813,0.0,0
test-ID,0.48332506,0.0,0
test-ID,0.10418998,0.0,0
test-ID,0.2719871,0.0,0
test-ID,0.3881277,0.0,0
test-ID,0.2113487,0.0,0
test-ID,0.79097265,0.0,0
test-ID,0.9634851,0.0,0
test-ID,0.52849174,0.0,0
test-ID,0.30673334,0.0,0
test-ID,0.9974301,0.0,0
test-ID,0.93252236,0.0,0
test-ID,0.5885785,0.0,0
test-ID,0.2409737,0.0,0
test-ID,0.79048455,0.0,0
test-ID,0.86161846,0.0,0
test-ID,0.8255328,0.0,0
test-ID,0.48974878,0.0,0
test-ID,0.43817908,0.0,0
test-ID,0.8299197,0.0,0
test-ID,0.19065598,0.0,0
test-ID,0.32097375,0.0,0
test-ID,0.4191865,0.0,0
test-ID,0.2592654,0.0,0
test-ID,0.059739202,0.0,0
test-ID,0.32613194,0.0,0
test-ID,0.93777114,0.0,0
test-ID,0.98406905,0.0,0
test-ID,0.6816267,0.0,0
test-ID,0.42662993,0.0,0
test-ID,0.91791546,0.0,0
test-ID,0.26792023,0.0,0
test-ID,0.12003766,0.0,0
test-ID,0.5056358,0.0,0
test-ID,0.46626925,0.0,0
test-ID,0.3167656,0.0,0
test-ID,0.97826827,0.0,0
test-ID,0.37455148,0.0,0
test-ID,0.7689155,0.0,0
test-ID,0.9767034,0.0,0
test-ID,0.99286866,0.0,0
test-ID,0.3249313,0.0,0
test-ID,0.9759849,0.0,0
test-ID,0.48592842,0.0,0
test-ID,0.5437464,0.0,0
test-ID,0.99851286,0.0,0
test-ID,0.39915895,0.0,0
test-ID,0.6369949,0.0,0
test-ID,0.93989134,0.0,0
test-ID,0.35553896,0.0,0
test-ID,0.18183345,0.0,0
test-ID,0.37063554,0.0,0
test-ID,0.13966067,0.0,0
test-ID,0.7598681,0.0,0
test-ID,0.095209464,0.0,0
test-ID,0.27004072,0.0,0
test-ID,0.37970787,0.0,0
test-ID,0.25924486,0.0,0
test-ID,0.25792277,0.0,0
test-ID,0.73214567,0.0,0
test-ID,0.85892266,0.0,0
test-ID,0.84612525,0.0,0
test-ID,0.41075632,0.0,0
test-ID,0.3942471,0.0,0
test-ID,0.23246156,0.0,0
test-ID,0.9880687,0.0,0
test-ID,0.23564456,0.0,0
test-ID,0.89611673,0.0,0
test-ID,0.15020518,0.0,0
test-ID,0.949814,0.0,0
test-ID,0.75877124,0.0,0
test-ID,0.82886994,0.0,0
test-ID,0.8893641,0.0,0
test-ID,0.116554365,0.0,0
test-ID,0.548445,0.0,0
test-ID,0.1679548,0.0,0
test-ID,0.84832555,0.0,0
test-ID,0.36872864,0.0,0
test-ID,0.6064925,0.0,0
test-ID,0.8435564,0.0,0
test-ID,0.23423894,0.0,0
test-ID,0.24048476,0.0,0
test-ID,0.19337861,0.0,0
test-ID,0.43649122,0.0,0
test-ID,0.5551747,0.0,0
test-ID,0.28385425,0.0,0
test-ID,0.45173472,0.0,0
test-ID,0.94808453,0.0,0
test-ID,0.3798528,0.0,0
test-ID,0.99074787,0.0,0
test-ID,0.53524125,0.0,0
test-ID,0.34205252,0.0,0
test-ID,0.4963497,0.0,0
test-ID,0.47592446,0.0,0
test-ID,0.9325546,0.0,0
test-ID,0.9218298,0.0,0
test-ID,0.7658942,0.0,0
test-ID,0.987634,0.0,0
test-ID,0.7903962,0.0,0
test-ID,0.118630216,0.0,0
test-ID,0.9648819,0.0,0
test-ID,0.31222928,0.0,0
test-ID,0.77394867,0.0,0
test-ID,0.38573378,0.0,0
test-ID,0.43369755,0.0,0
test-ID,0.26479152,0.0,0
test-ID,0.86908793,0.0,0
test-ID,0.94785166,0.0,0
test-ID,0.46022713,0.0,0
test-ID,0.5861355,0.0,0
test-ID,0.9858484,0.0,0
test-ID,0.22312468,0.0,0
test-ID,0.96334934,0.0,0
test-ID,0.9589447,0.0,0
test-ID,0.4606474,0.0,0
test-ID,0.56471634,0.0,0
test-ID,0.4023233,0.0,0
test-ID,0.7339731,0.0,0
test-ID,0.9934131,0.0,0
test-ID,0.35042113,0.0,0
test-ID,0.62426114,0.0,0
test-ID,0.22145016,0.0,0
test-ID,0.9887808,0.0,0
test-ID,0.9849875,0.0,0
test-ID,0.1913316,0.0,0
test-ID,0.81972504,0.0,0
test-ID,0.6237447,0.0,0
test-ID,0.9892255,0.0,0
test-ID,0.9435517,0.0,0
test-ID,0.18655175,0.0,0
test-ID,0.9816391,0.0,0
test-ID,0.98725724,0.0,0
test-ID,0.7910036,0.0,0
test-ID,0.6732231,0.0,0
test-ID,0.08084348,0.0,0
test-ID,0.83083034,0.0,0
test-ID,0.98716176,0.0,0
test-ID,0.5788379,0.0,0
test-ID,0.8836123,0.0,0
test-ID,0.97971606,0.0,0
test-ID,0.38459682,0.0,0
test-ID,0.21608168,0.0,0
test-ID,0.96247584,0.0,0
test-ID,0.13863346,0.0,0
test-ID,0.28574,0.0,0
test-ID,0.03602203,0.0,0
test-ID,0.54799646,0.0,0
test-ID,0.90181315,0.0,0
test-ID,0.99480224,0.0,0
test-ID,0.28479064,0.0,0
test-ID,0.9866444,0.0,0
test-ID,0.61589354,0.0,0
test-ID,0.47237843,0.0,0
test-ID,0.1154332,0.0,0
test-ID,0.32713205,0.0,0
test-ID,0.2175335,0.0,0
test-ID,0.9254949,0.0,0
test-ID,0.8657987,0.0,0
test-ID,0.9954625,0.0,0
test-ID,0.8882267,0.0,0
test-ID,0.4337819,0.0,0
test-ID,0.23176624,0.0,0
test-ID,0.30790547,0.0,0
test-ID,0.43361977,0.0,0
test-ID,0.5753142,0.0,0
test-ID,0.9732724,0.0,0
test-ID,0.24902298,0.0,0
test-ID,0.94379485,0.0,0
test-ID,0.64395535,0.0,0
test-ID,0.7959613,0.0,0
test-ID,0.7039231,0.0,0
test-ID,0.3058396,0.0,0
test-ID,0.5236465,0.0,0
test-ID,0.24174237,0.0,0
test-ID,0.5073986,0.0,0
test-ID,0.9591902,0.0,0
test-ID,0.312456,0.0,0
test-ID,0.13749993,0.0,0
test-ID,0.43183768,0.0,0
test-ID,0.47347897,0.0,0
test-ID,0.54200655,0.0,0
test-ID,0.9835705,0.0,0
test-ID,0.3050194,0.0,0
test-ID,0.3885513,0.0,0
test-ID,0.97367513,0.0,0
test-ID,0.19702794,0.0,0
test-ID,0.89148235,0.0,0
test-ID,0.7296854,0.0,0
test-ID,0.18197985,0.0,0
test-ID,0.9901676,0.0,0
test-ID,0.91308546,0.0,0
test-ID,0.9446823,0.0,0
test-ID,0.7083938,0.0,0
test-ID,0.99071085,0.0,0
test-ID,0.7276558,0.0,0
test-ID,0.9427322,0.0,0
test-ID,0.96249413,0.0,0
test-ID,0.59125787,0.0,0
test-ID,0.9739659,0.0,0
test-ID,0.9951035,0.0,0
test-ID,0.16978657,0.0,0
test-ID,0.31210837,0.0,0
test-ID,0.82645094,0.0,0
test-ID,0.4832855,0.0,0
test-ID,0.44198468,0.0,0
test-ID,0.89627236,0.0,0
test-ID,0.6310779,0.0,0
test-ID,0.9518843,0.0,0
test-ID,0.95961624,0.0,0
test-ID,0.59439903,0.0,0
test-ID,0.9818052,0.0,0
test-ID,0.7725555,0.0,0
test-ID,0.93127596,0.0,0
test-ID,0.923887,0.0,0
test-ID,0.365771,0.0,0
test-ID,0.9373874,0.0,0
test-ID,0.42220995,0.0,0
test-ID,0.20667589,0.0,0
test-ID,0.91616875,0.0,0
test-ID,0.18716483,0.0,0
test-ID,0.8000512,0.0,0
test-ID,0.30582052,0.0,0
test-ID,0.49735183,0.0,0
test-ID,0.19415008,0.0,0
test-ID,0.24685965,0.0,0
test-ID,0.9327413,0.0,0
test-ID,0.14602298,0.0,0
test-ID,0.32548636,0.0,0
test-ID,0.36878848,0.0,0
test-ID,0.13873203,0.0,0
test-ID,0.99346757,0.0,0
test-ID,0.23616141,0.0,0
test-ID,0.4705599,0.0,0
test-ID,0.11247577,0.0,0
test-ID,0.42217508,0.0,0
test-ID,0.9861691,0.0,0
test-ID,0.89829934,0.0,0
test-ID,0.91380155,0.0,0
test-ID,0.33777237,0.0,0
test-ID,0.2631305,0.0,0
test-ID,0.998365,0.0,0
test-ID,0.36909932,0.0,0
test-ID,0.9899324,0.0,0
test-ID,0.8670873,0.0,0
test-ID,0.9886278,0.0,0
test-ID,0.9326633,0.0,0
test-ID,0.9643049,0.0,0
test-ID,0.9784042,0.0,0
test-ID,0.82107604,0.0,0
test-ID,0.0687495,0.0,0
test-ID,0.37850088,0.0,0
test-ID,0.46850228,0.0,0
test-ID,0.18338537,0.0,0
test-ID,0.44217095,0.0,0
test-ID,0.44929162,0.0,0
test-ID,0.36671215,0.0,0
test-ID,0.9794063,0.0,0
test-ID,0.16282046,0.0,0
test-OOD,0.6022554,0.0,0
test-OOD,0.33572212,0.0,0
test-OOD,0.4094935,0.0,0
test-OOD,0.5737731,0.0,0
test-OOD,0.51382864,0.0,0
test-OOD,0.3198558,0.0,0
test-OOD,0.32678187,0.0,0
test-OOD,0.360858,0.0,0
test-OOD,0.5050078,0.0,0
test-OOD,0.12619951,0.0,0
test-OOD,0.2442831,0.0,0
test-OOD,0.45683348,0.0,0
test-OOD,0.69316,0.0,0
test-OOD,0.45941785,0.0,0
test-OOD,0.44054413,0.0,0
test-OOD,0.74099416,0.0,0
test-OOD,0.6225513,0.0,0
test-OOD,0.3387528,0.0,0
test-OOD,0.098386645,0.0,0
test-OOD,0.31426966,0.0,0
test-OOD,0.20531127,0.0,0
test-OOD,0.23385896,0.0,0
test-OOD,0.27570894,0.0,0
test-OOD,0.4490435,0.0,0
test-OOD,0.16834499,0.0,0
test-OOD,0.28611663,0.0,0
test-OOD,0.2670329,0.0,0
test-OOD,0.34897774,0.0,0
test-OOD,0.27906632,0.0,0
test-OOD,0.1813385,0.0,0
test-OOD,0.18447699,0.0,0
test-OOD,0.3667502,0.0,0
test-OOD,0.1490307,0.0,0
test-OOD,0.13179535,0.0,0
test-OOD,0.42771423,0.0,0
test-OOD,0.35049915,0.0,0
test-OOD,0.42197907,0.0,0
test-OOD,0.3315825,0.0,0
test-OOD,0.48061663,0.0,0
test-OOD,0.6013798,0.0,0
test-OOD,0.19951029,0.0,0
test-OOD,0.19201973,0.0,0
test-OOD,0.5519649,0.0,0
test-OOD,0.21762179,0.0,0
test-OOD,0.28692973,0.0,0
test-OOD,0.39820647,0.0,0
test-OOD,0.30253735,0.0,0
test-OOD,0.33390218,0.0,0
test-OOD,0.43676937,0.0,0
test-OOD,0.17870484,0.0,0
test-OOD,0.30708265,0.0,0
test-OOD,0.55511117,0.0,0
test-OOD,0.22636904,0.0,0
test-OOD,0.25322685,0.0,0
test-OOD,0.28093466,0.0,0
test-OOD,0.16821669,0.0,0
test-OOD,0.17215258,0.0,0
test-OOD,0.27363223,0.0,0
test-OOD,0.25288174,0.0,0
test-OOD,0.74610764,0.0,0
test-OOD,0.16708592,0.0,0
test-OOD,0.29210833,0.0,0
test-OOD,0.09504163,0.0,0
test-OOD,0.1535757,0.0,0
test-OOD,0.33773148,0.0,0
test-OOD,0.3226205,0.0,0
test-OOD,0.24615587,0.0,0
test-OOD,0.34368247,0.0,0
test-OOD,0.13152426,0.0,0
test-OOD,0.5453743,0.0,0
test-OOD,0.13714978,0.0,0
test-OOD,0.0524644,0.0,0
test-OOD,0.124102294,0.0,0
test-OOD,0.2658121,0.0,0
test-OOD,0.23627879,0.0,0
test-OOD,0.120728225,0.0,0
test-OOD,0.03112454,0.0,0
test-OOD,0.48764095,0.0,0
test-OOD,0.13581595,0.0,0
test-OOD,0.23957892,0.0,0
test-OOD,0.6529201,0.0,0
test-OOD,0.08505276,0.0,0
test-OOD,0.62577164,0.0,0
test-OOD,0.15132503,0.0,0
test-OOD,0.6943863,0.0,0
test-OOD,0.37204778,0.0,0
test-OOD,0.18652128,0.0,0
test-OOD,0.3249219,0.0,0
test-OOD,0.18228935,0.0,0
test-OOD,0.0813455,0.0,0
test-OOD,0.31757444,0.0,0
test-OOD,0.276434,0.0,0
test-OOD,0.2752901,0.0,0
test-OOD,0.3703686,0.0,0
test-OOD,0.18241635,0.0,0
test-OOD,0.3788919,0.0,0
test-OOD,0.24812533,0.0,0
test-OOD,0.21166572,0.0,0
test-OOD,0.17930003,0.0,0
test-OOD,0.061010048,0.0,0
test-OOD,0.29078943,0.0,0
test-OOD,0.23535496,0.0,0
test-OOD,0.16801031,0.0,0
test-OOD,0.16624539,0.0,0
test-OOD,0.16341881,0.0,0
test-OOD,0.25892296,0.0,0
test-OOD,0.05473785,0.0,0
test-OOD,0.020972248,0.0,0
test-OOD,0.3620782,0.0,0
test-OOD,0.22143298,0.0,0
test-OOD,0.18482207,0.0,0
test-OOD,0.19110455,0.0,0
test-OOD,0.37406906,0.0,0
test-OOD,0.13140203,0.0,0
test-OOD,0.14521734,0.0,0
test-OOD,0.39865905,0.0,0
test-OOD,0.10298477,0.0,0
test-OOD,0.13235414,0.0,0
test-OOD,0.23273087,0.0,0
test-OOD,0.16384283,0.0,0
test-OOD,0.0764986,0.0,0
test-OOD,0.25301778,0.0,0
test-OOD,0.33338457,0.0,0
test-OOD,0.030037668,0.0,0
test-OOD,0.39575726,0.0,0
test-OOD,0.13555513,0.0,0
test-OOD,0.17159039,0.0,0
test-OOD,0.17046647,0.0,0
test-OOD,0.8824774,0.0,0
test-OOD,0.69368905,0.0,0
test-OOD,0.090283364,0.0,0
test-OOD,0.08958617,0.0,0
test-OOD,0.23327978,0.0,0
test-OOD,0.12833318,0.0,0
test-OOD,0.068380594,0.0,0
test-OOD,0.22527939,0.0,0
test-OOD,0.23901322,0.0,0
test-OOD,0.52388954,0.0,0
test-OOD,0.49568504,0.0,0
test-OOD,0.11589499,0.0,0
test-OOD,0.5411488,0.0,0
test-OOD,0.17103696,0.0,0
test-OOD,0.40188074,0.0,0
test-OOD,0.17068623,0.0,0
test-OOD,0.14405006,0.0,0
test-OOD,0.124821275,0.0,0
test-OOD,0.15352501,0.0,0
test-OOD,0.32525504,0.0,0
test-OOD,0.088556424,0.0,0
test-OOD,0.118183926,0.0,0
test-OOD,0.27524817,0.0,0
test-OOD,0.0450423,0.0,0
test-OOD,0.15327802,0.0,0
test-OOD,0.20447278,0.0,0
test-OOD,0.24266204,0.0,0
test-OOD,0.084449366,0.0,0
test-OOD,0.08585079,0.0,0
test-OOD,0.2936652,0.0,0
test-OOD,0.55065066,0.0,0
test-OOD,0.3332056,0.0,0
test-OOD,0.6250682,0.0,0
test-OOD,0.4370064,0.0,0
test-OOD,0.23568304,0.0,0
test-OOD,0.050141178,0.0,0
test-OOD,0.1063299,0.0,0
test-OOD,0.3142561,0.0,0
test-OOD,0.6402641,0.0,0
test-OOD,0.013599321,0.0,0
test-OOD,0.35551548,0.0,0
test-OOD,0.22706898,0.0,0
test-OOD,0.107454225,0.0,0
test-OOD,0.40181124,0.0,0
test-OOD,0.42667544,0.0,0
test-OOD,0.3198809,0.0,0
test-OOD,0.5712837,0.0,0
test-OOD,0.13470529,0.0,0
test-OOD,0.27999383,0.0,0
test-OOD,0.7179258,0.0,0
test-OOD,0.3452351,0.0,0
test-OOD,0.47847652,0.0,0
test-OOD,0.3403374,0.0,0
test-OOD,0.049428772,0.0,0
test-OOD,0.17236812,0.0,0
test-OOD,0.42561486,0.0,0
test-OOD,0.78014463,0.0,0
test-OOD,0.35008729,0.0,0
test-OOD,0.32575244,0.0,0
test-OOD,0.32588834,0.0,0
test-OOD,0.19002506,0.0,0
test-OOD,0.5331985,0.0,0
test-OOD,0.7078471,0.0,0
test-OOD,0.44528767,0.0,0
test-OOD,0.18478045,0.0,0
test-OOD,0.8223325,0.0,0
test-OOD,0.60227424,0.0,0
test-OOD,0.2548592,0.0,0
test-OOD,0.13256831,0.0,0
test-OOD,0.12290901,0.0,0
test-OOD,0.21026419,0.0,0
test-OOD,0.26132324,0.0,0
test-OOD,0.2069387,0.0,0
test-OOD,0.4499244,0.0,0
test-OOD,0.20335405,0.0,0
test-OOD,0.19231209,0.0,0
test-OOD,0.16264445,0.0,0
test-OOD,0.11785166,0.0,0
test-OOD,0.32145435,0.0,0
test-OOD,0.25029844,0.0,0
test-OOD,0.11074199,0.0,0
test-OOD,0.39367765,0.0,0
test-OOD,0.16558447,0.0,0
test-OOD,0.14592284,0.0,0
test-OOD,0.4693097,0.0,0
test-OOD,0.12992395,0.0,0
test-OOD,0.075471014,0.0,0
test-OOD,0.39555305,0.0,0
test-OOD,0.49927503,0.0,0
test-OOD,0.7157952,0.0,0
test-OOD,0.5301857,0.0,0
test-OOD,0.16198656,0.0,0
test-OOD,0.12429142,0.0,0
test-OOD,0.40176266,0.0,0
test-OOD,0.27991378,0.0,0
test-OOD,0.12186864,0.0,0
test-OOD,0.25251156,0.0,0
test-OOD,0.04193155,0.0,0
test-OOD,0.3997989,0.0,0
test-OOD,0.1571682,0.0,0
test-OOD,0.20146126,0.0,0
test-OOD,0.18944955,0.0,0
test-OOD,0.10407774,0.0,0
test-OOD,0.20438434,0.0,0
test-OOD,0.41272187,0.0,0
test-OOD,0.52643967,0.0,0
test-OOD,0.89786935,0.0,0
test-OOD,0.3470227,0.0,0
test-OOD,0.19122465,0.0,0
test-OOD,0.19577457,0.0,0
test-OOD,0.26276764,0.0,0
test-OOD,0.31857818,0.0,0
test-OOD,0.28489065,0.0,0
test-OOD,0.26149702,0.0,0
test-OOD,0.15166654,0.0,0
test-OOD,0.17403187,0.0,0
test-OOD,0.1249464,0.0,0
test-OOD,0.35371184,0.0,0
test-OOD,0.5429317,0.0,0
test-OOD,0.61728215,0.0,0
test-OOD,0.5560762,0.0,0
test-OOD,0.2795308,0.0,0
test-OOD,0.3273745,0.0,0
test-OOD,0.28387013,0.0,0
test-OOD,0.29392487,0.0,0
test-OOD,0.061262976,0.0,0
test-OOD,0.2820363,0.0,0
test-OOD,0.18542415,0.0,0
test-OOD,0.350577,0.0,0
test-OOD,0.5887831,0.0,0
test-OOD,0.78467643,0.0,0
test-OOD,0.9238449,0.0,0
test-OOD,0.1818238,0.0,0
test-OOD,0.19126578,0.0,0
test-OOD,0.47481105,0.0,0
test-OOD,0.21828248,0.0,0
test-OOD,0.41487738,0.0,0
test-OOD,0.1262916,0.0,0
test-OOD,0.19626202,0.0,0
test-OOD,0.24008228,0.0,0
test-OOD,0.13522604,0.0,0
test-OOD,0.44136906,0.0,0
test-OOD,0.15078737,0.0,0
test-OOD,0.31367415,0.0,0
test-OOD,0.59848756,0.0,0
test-OOD,0.38508072,0.0,0
test-OOD,0.18630826,0.0,0
test-OOD,0.2447089,0.0,0
test-OOD,0.38751632,0.0,0
test-OOD,0.099647254,0.0,0
test-OOD,0.79120684,0.0,0
test-OOD,0.42001843,0.0,0
test-OOD,0.09098673,0.0,0
test-OOD,0.27409828,0.0,0
test-OOD,0.28871274,0.0,0
test-OOD,0.5035073,0.0,0
