balance,fold,roc
0.0,0,0.7628065722379602
0.0,1,0.7437471954674221
0.0,2,0.8113503682719547
0.0,3,0.7330313881019831
0.0,4,0.7742125779036827
0.0,5,0.7869479886685552
0.0,6,0.7892986968838527
0.0,7,0.7471721246458924
0.0,8,0.7510112181303116
0.0,9,0.8013776770538243
1.0,0,0.849023342776204
1.0,1,0.8793164872521246
1.0,2,0.8611243059490085
1.0,3,0.8579035694050989
1.0,4,0.8575555807365439
1.0,5,0.8594167705382437
1.0,6,0.8699859490084987
1.0,7,0.8639630594900849
1.0,8,0.8743486685552408
1.0,9,0.8721272521246458
10.0,0,0.8290880453257792
10.0,1,0.8243204532577905
10.0,2,0.8105834560906516
10.0,3,0.8561248725212465
10.0,4,0.8210560906515583
10.0,5,0.8285332577903683
10.0,6,0.8338871388101982
10.0,7,0.8285443626062321
10.0,8,0.8186113314447591
10.0,9,0.8330040793201132
100.0,0,0.7526701416430595
100.0,1,0.7496082719546742
100.0,2,0.7422055524079322
100.0,3,0.746595014164306
100.0,4,0.7359664589235128
100.0,5,0.7638642492917848
100.0,6,0.5363815297450425
100.0,7,0.7633460623229463
100.0,8,0.7381325779036827
100.0,9,0.7476573371104814
500.0,0,0.5129298583569405
500.0,1,0.4757292917847025
500.0,2,0.6690721813031161
500.0,3,0.45877903682719545
500.0,4,0.49549223796033987
500.0,5,0.49396974504249297
500.0,6,0.4605958073654392
500.0,7,0.5280167705382436
500.0,8,0.49565053824362604
500.0,9,0.48195138810198296
