,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,epsilon,chains,minsize,flu_included,feature,sources,mean_features
0,37.0,4.0,7.00531208499336,0.99601593625498,7.00531208499336,98.46729846729846,6.673306772908367,95.260663507109,tcrdist,10.0,TRB,3,True,CDR123,both,False
1,34.0,8.0,15.803452855245684,9.694555112881806,15.803452855245684,97.0794189710632,15.0398406374502,95.16806722689076,tcrdist,20.0,TRB,3,True,CDR123,both,False
2,71.0,16.0,27.95484727755644,15.0066401062417,27.95484727755644,76.54514565414553,20.51792828685259,73.39667458432304,tcrdist,30.0,TRB,3,True,CDR123,both,False
3,80.0,17.0,44.6879150066401,18.06108897742364,44.6879150066401,65.50404117227049,21.94555112881806,49.10846953937593,tcrdist,40.0,TRB,3,True,CDR123,both,False
4,52.0,13.0,65.93625498007968,51.75962815405047,65.93625498007968,59.08378045487324,1.361221779548473,2.0644511581067477,tcrdist,50.0,TRB,3,True,CDR123,both,False
0,10.0,4.0,1.4071294559099436,0.1407129455909943,1.4071294559099436,90.0,1.125703564727955,80.0,tcrdist,10.0,TRB,3,False,CDR123,both,False
1,25.0,9.0,5.25328330206379,0.4690431519699812,5.25328330206379,91.6,3.658536585365854,69.64285714285714,tcrdist,20.0,TRB,3,False,CDR123,both,False
2,59.0,15.0,15.806754221388369,1.3602251407129455,15.806754221388369,73.86290567269182,6.144465290806754,38.87240356083086,tcrdist,30.0,TRB,3,False,CDR123,both,False
3,66.0,16.0,32.73921200750469,6.3320825515947465,32.73921200750469,67.29649184993389,5.018761726078799,15.329512893982807,tcrdist,40.0,TRB,3,False,CDR123,both,False
4,45.0,12.0,57.4577861163227,40.1031894934334,57.4577861163227,58.99714237086942,1.594746716697936,2.7755102040816326,tcrdist,50.0,TRB,3,False,CDR123,both,False
0,87.0,10.0,10.325365205843294,0.99601593625498,10.325365205843294,98.1987361297706,9.860557768924302,95.4983922829582,tcrdist,10.0,TRB,2,True,CDR123,both,False
1,119.0,16.0,21.44754316069057,9.694555112881806,21.44754316069057,95.3840356724046,20.0863213811421,93.6532507739938,tcrdist,20.0,TRB,2,True,CDR123,both,False
2,193.0,19.0,36.05577689243028,15.0066401062417,36.05577689243028,83.34044218364939,26.56042496679947,73.66482504604052,tcrdist,30.0,TRB,2,True,CDR123,both,False
3,202.0,23.0,52.788844621513945,18.06108897742364,52.788844621513945,73.9619965038695,26.726427622841964,50.62893081761006,tcrdist,40.0,TRB,2,True,CDR123,both,False
4,128.0,20.0,70.98273572377158,51.75962815405047,70.98273572377158,70.09653580979226,4.150066401062417,5.846585594013097,tcrdist,50.0,TRB,2,True,CDR123,both,False
0,37.0,10.0,3.9399624765478425,0.1407129455909943,3.9399624765478425,94.5945945945946,3.4709193245778613,88.0952380952381,tcrdist,10.0,TRB,2,False,CDR123,both,False
1,86.0,15.0,10.975609756097562,0.4690431519699812,10.975609756097562,93.48837209302326,8.72420262664165,79.48717948717949,tcrdist,20.0,TRB,2,False,CDR123,both,False
2,156.0,18.0,24.906191369606,1.3602251407129455,24.906191369606,81.46097073518473,12.711069418386492,51.03578154425612,tcrdist,30.0,TRB,2,False,CDR123,both,False
3,167.0,23.0,42.21388367729831,6.3320825515947465,42.21388367729831,75.09921234787807,10.74108818011257,25.444444444444443,tcrdist,40.0,TRB,2,False,CDR123,both,False
4,116.0,19.0,64.11819887429644,40.1031894934334,64.11819887429644,71.16268454042348,5.440900562851782,8.485735186539868,tcrdist,50.0,TRB,2,False,CDR123,both,False
0,37.0,5.0,7.53652058432935,1.1620185922974768,7.53652058432935,98.51994851994851,7.204515272244356,95.59471365638768,ismart,7.5,TRB,3,True,CDR123,both,False
1,50.0,10.0,19.9203187250996,10.225763612217795,19.9203187250996,91.22261927261928,17.861885790172643,89.66666666666667,ismart,6.5,TRB,3,True,CDR123,both,False
2,78.0,14.0,26.29482071713148,10.823373173970785,26.29482071713148,77.96308983681757,19.8539176626826,75.5050505050505,ismart,5.5,TRB,3,True,CDR123,both,False
3,98.0,16.0,32.93492695883134,10.823373173970785,32.93492695883134,67.25272482545451,17.46347941567065,53.024193548387096,ismart,4.5,TRB,3,True,CDR123,both,False
0,11.0,4.0,1.6416510318949344,0.1876172607879924,1.6416510318949344,90.9090909090909,1.3602251407129455,82.85714285714286,ismart,7.5,TRB,3,False,CDR123,both,False
1,35.0,11.0,9.099437148217635,0.797373358348968,9.099437148217635,87.502442002442,5.909943714821764,64.94845360824742,ismart,6.5,TRB,3,False,CDR123,both,False
2,54.0,12.0,12.99249530956848,1.125703564727955,12.99249530956848,77.52351557907113,7.176360225140713,55.2346570397112,ismart,5.5,TRB,3,False,CDR123,both,False
3,69.0,13.0,18.339587242026266,1.125703564727955,18.339587242026266,69.78540581801452,5.722326454033771,31.202046035805623,ismart,4.5,TRB,3,False,CDR123,both,False
0,105.0,11.0,12.350597609561753,1.1620185922974768,12.350597609561753,98.68480725623584,11.852589641434262,95.96774193548389,ismart,7.5,TRB,2,True,CDR123,both,False
1,144.0,20.0,26.726427622841964,10.225763612217795,26.726427622841964,88.32961317336317,22.808764940239044,85.3416149068323,ismart,6.5,TRB,2,True,CDR123,both,False
2,193.0,21.0,34.39575033200531,10.823373173970785,34.39575033200531,77.79510021038914,24.302788844621517,70.65637065637065,ismart,5.5,TRB,2,True,CDR123,both,False
3,210.0,22.0,40.80345285524568,10.823373173970785,40.80345285524568,72.456033489974,21.58034528552457,52.88852725793328,ismart,4.5,TRB,2,True,CDR123,both,False
0,50.0,12.0,5.722326454033771,0.1876172607879924,5.722326454033771,96.33333333333334,5.206378986866792,90.98360655737704,ismart,7.5,TRB,2,False,CDR123,both,False
1,107.0,18.0,16.322701688555348,0.797373358348968,16.322701688555348,87.6565620257209,11.397748592870544,69.82758620689656,ismart,6.5,TRB,2,False,CDR123,both,False
2,154.0,21.0,23.170731707317078,1.125703564727955,23.170731707317078,78.9692846835704,13.133208255159476,56.68016194331984,ismart,5.5,TRB,2,False,CDR123,both,False
3,172.0,22.0,28.70544090056285,1.125703564727955,28.70544090056285,74.89453295412598,11.49155722326454,40.032679738562095,ismart,4.5,TRB,2,False,CDR123,both,False
0,76.0,8.0,18.23375386812664,1.9757200666507972,18.23375386812664,98.70557074504444,17.75767674363247,97.38903394255874,tcrdist,30.0,TR,3,True,CDR123,both,False
1,79.0,10.0,24.87502975482028,8.759819090692693,24.87502975482028,97.31989466122168,23.99428707450607,96.45933014354068,tcrdist,50.0,TR,3,True,CDR123,both,False
2,91.0,13.0,31.468697929064508,17.186384194239466,31.468697929064508,95.83540479958532,30.25470126160438,96.14220877458396,tcrdist,70.0,TR,3,True,CDR123,both,False
