,repertoire_id
0,3129659521642336746-242ac113-0001-012
1,877374609918914070-242ac113-0001-012
2,3776444552738762260-242ac117-0001-012
3,8178786653546746346-242ac113-0001-012
4,5636729785891754476-242ac114-0001-012
5,303352230808514070-242ac113-0001-012
6,2429323868711349780-242ac117-0001-012
7,1325622345084628500-242ac114-0001-012
8,6385849188592194026-242ac113-0001-012
9,2120962191251739116-242ac114-0001-012
10,491171150662594070-242ac113-0001-012
11,8160017646463226346-242ac113-0001-012
12,902586067946434070-242ac113-0001-012
13,1087999806114754070-242ac113-0001-012
14,1322143421574868500-242ac114-0001-012
15,2906922517671776746-242ac113-0001-012
16,2138356813095506412-242ac114-0001-012
17,7735202431215866346-242ac113-0001-012
18,2145744152549659116-242ac114-0001-012
19,2438686897416629780-242ac117-0001-012
20,2130325219957019116-242ac114-0001-012
21,561565664644034070-242ac113-0001-012
22,2127490541541659116-242ac114-0001-012
23,2130110471592219116-242ac114-0001-012
24,815570030529474070-242ac113-0001-012
25,7960645264582906346-242ac113-0001-012
26,3085335459147616746-242ac113-0001-012
27,7978019262740107756-242ac117-0001-012
28,2121005140924699116-242ac114-0001-012
29,920152484187074070-242ac113-0001-012
30,8048348496767226346-242ac113-0001-012
31,1323388962090708500-242ac114-0001-012
32,2140590191794459116-242ac114-0001-012
33,750157678611394070-242ac113-0001-012
34,2143682568247579116-242ac114-0001-012
35,2121305792930386412-242ac114-0001-012
36,2143854366939419116-242ac114-0001-012
37,3775241961895882260-242ac117-0001-012
38,2121133989943579116-242ac114-0001-012
39,3040581899923296746-242ac113-0001-012
40,3776745200449482260-242ac117-0001-012
41,2140547242121499116-242ac114-0001-012
42,3100410794356576746-242ac113-0001-012
43,2987539053817696746-242ac113-0001-012
44,2118471110220059116-242ac114-0001-012
45,2132257955240219116-242ac114-0001-012
46,8213318190606586346-242ac113-0001-012
47,5632563667614634476-242ac114-0001-012
48,2649009731546976746-242ac113-0001-012
49,5637416980659114476-242ac114-0001-012
50,2130969465051419116-242ac114-0001-012
51,2138528611787346412-242ac114-0001-012
52,2434520779139509780-242ac117-0001-012
53,7337308342175854100-242ac117-0001-012
54,1322572918304468500-242ac114-0001-012
55,7977031420262027756-242ac117-0001-012
56,8785772185193353706-242ac116-0001-012
57,7342720000968814100-242ac117-0001-012
58,7343020648679534100-242ac117-0001-012
59,2131055364397339116-242ac114-0001-012
60,2140847889832219116-242ac114-0001-012
61,1288531829164994070-242ac113-0001-012
62,8873475417377673706-242ac116-0001-012
63,7347916911396974100-242ac117-0001-012
