,repertoire_id
0,6597997132316077590-242ac113-0001-012
1,8041387213760762346-242ac113-0001-012
2,8296765969180922346-242ac113-0001-012
3,8626049353405951510-242ac113-0001-012
4,7085800008821314026-242ac113-0001-012
5,1958487559830957590-242ac113-0001-012
6,7634525030558274026-242ac113-0001-012
7,3129659521642336746-242ac113-0001-012
8,877374609918914070-242ac113-0001-012
9,4738018595110317590-242ac113-0001-012
10,8842945415369200106-242ac113-0001-012
11,4232610284415554026-242ac113-0001-012
12,8821115154398637590-242ac113-0001-012
13,6664740924095917590-242ac113-0001-012
14,5969600467238317590-242ac113-0001-012
15,5624285096639917590-242ac113-0001-012
16,5979951962544148971-242ac118-0001-012
17,3776444552738762260-242ac117-0001-012
18,8192956682679161322-242ac113-0001-012
19,6112474520201794026-242ac113-0001-012
20,8624085495556674026-242ac113-0001-012
21,4144274420728467946-242ac113-0001-012
22,4372852580221587946-242ac113-0001-012
23,8178786653546746346-242ac113-0001-012
24,8687779860556354026-242ac113-0001-012
25,7759969198167551510-242ac113-0001-012
26,3255289656400613867-242ac117-0001-012
27,2220343820485267946-242ac113-0001-012
28,5093751227263554026-242ac113-0001-012
29,5856795117070914026-242ac113-0001-012
30,5754938001784237590-242ac113-0001-012
31,5636729785891754476-242ac114-0001-012
32,6038019924681036267-242ac118-0001-012
33,1325622345084628500-242ac114-0001-012
34,5436423227112877590-242ac113-0001-012
35,303352230808514070-242ac113-0001-012
36,6479092928588354026-242ac113-0001-012
37,4304894584007234026-242ac113-0001-012
38,8176292205275714026-242ac113-0001-012
39,1084118117711277590-242ac113-0001-012
40,6385849188592194026-242ac113-0001-012
41,2310237485990547946-242ac113-0001-012
42,4657187310599597590-242ac113-0001-012
43,2831139015032237590-242ac113-0001-012
44,2429323868711349780-242ac117-0001-012
45,6843368613936557590-242ac113-0001-012
46,8040215814231551510-242ac113-0001-012
47,7774369165716034026-242ac113-0001-012
48,1703108804410797590-242ac113-0001-012
49,3258038431175086571-242ac117-0001-012
50,6047706413378114026-242ac113-0001-012
51,3416543057477037590-242ac113-0001-012
52,1986611700236947946-242ac113-0001-012
53,8234875490445562346-242ac113-0001-012
54,2120962191251739116-242ac114-0001-012
55,491171150662594070-242ac113-0001-012
56,6451238099811757590-242ac113-0001-012
57,7845524946703871510-242ac113-0001-012
58,4328313769362067946-242ac113-0001-012
59,5986523262507028971-242ac118-0001-012
